isin,Weight
US15135BAW19,0.0734893631829392
US444859CA81,0.05562141918159458
US081437AT26,0.0514318752061205
US759351AP49,0.047180381017869706
US444859BV38,0.04459417029377087
US540424AT59,0.04257216422821736
US097023CJ22,0.04075642015089138
US444859BR26,0.03919802611089506
US444859BY76,0.037203999271841086
US020002BJ95,0.03447960192804121
US75513EAD31,0.03446691856972159
US13645RAD61,0.03421051952350252
US21871XAS80,0.03409440245760214
US655844CR73,0.03343878665313995
US443201AC21,0.032426701392007436
US36166NAK90,0.029198116156625018
US24422EWZ86,0.029053564088077896
US026874DS37,0.028549512385663726
US45687VAB27,0.02730176693988394
US14448CBC73,0.026110740201581575
US314353AA14,0.025800509164181824
US56501RAN61,0.025423511157595453
US91324PEJ75,0.022266408135657324
US13645RBF01,0.021735154498862194
US655844CT30,0.021024195090218654
US760759BA74,0.020965677611620274
US760759BC31,0.020737554779568436
US907818FX12,0.01805313039508544
US24422EXP95,0.016981997723121568
US539830CD97,0.016088404024909127
US438516CM68,0.01554500847919306
